,Address
113,"{'latitude': 40.73112649999999, 'formatted_address': '136 West 4th Street, New York, NY 10012, USA', 'longitude': -74.0002885}"
114,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
115,"{'latitude': 40.71810079999999, 'formatted_address': '259 Broome St, New York, NY 10002, USA', 'longitude': -73.9904899}"
116,"{'latitude': 40.7235481, 'formatted_address': '508 Broome St, New York, NY 10013, USA', 'longitude': -74.0033265}"
117,"{'latitude': 40.7162516, 'formatted_address': '106 Bayard St, New York, NY 10013, USA', 'longitude': -73.999943}"
118,"{'latitude': 40.7235481, 'formatted_address': '508 Broome St, New York, NY 10013, USA', 'longitude': -74.0033265}"
119,"{'latitude': 40.71581339999999, 'formatted_address': '122 Duane St, New York, NY 10007, USA', 'longitude': -74.0069488}"
120,"{'latitude': 40.744048, 'formatted_address': '10 E 28th St, New York, NY 10016, USA', 'longitude': -73.986566}"
121,"{'latitude': 40.7166981, 'formatted_address': '50 Norfolk St, New York, NY 10002, USA', 'longitude': -73.9879951}"
122,"{'latitude': 40.74124399999999, 'formatted_address': '315 E 29th St, New York, NY 10016, USA', 'longitude': -73.976636}"
123,"{'latitude': 40.827839, 'formatted_address': '464 W 150th St, New York, NY 10031, USA', 'longitude': -73.94457}"
124,"{'latitude': 40.7166981, 'formatted_address': '50 Norfolk St, New York, NY 10002, USA', 'longitude': -73.9879951}"
125,"{'latitude': 40.74124399999999, 'formatted_address': '315 E 29th St, New York, NY 10016, USA', 'longitude': -73.976636}"
126,"{'latitude': 40.819674, 'formatted_address': 'Riverside Park Community, 3333 Broadway, New York, NY 10031, USA', 'longitude': -73.9570143}"
127,"{'latitude': 40.7613813, 'formatted_address': '450 E 63rd St, New York, NY 10065, USA', 'longitude': -73.95891999999999}"
128,"{'latitude': 40.74124399999999, 'formatted_address': '315 E 29th St, New York, NY 10016, USA', 'longitude': -73.976636}"
129,"{'latitude': 40.7160674, 'formatted_address': '410 Grand St, New York, NY 10002, USA', 'longitude': -73.98621539999999}"
130,"{'latitude': 40.7107507, 'formatted_address': '257 South St, New York, NY 10002, USA', 'longitude': -73.987585}"
131,"{'latitude': 40.7103896, 'formatted_address': '82 Rutgers Slip, New York, NY 10002, USA', 'longitude': -73.9901963}"
132,"{'latitude': 40.7568019, 'formatted_address': '505 W 37th St, New York, NY 10018, USA', 'longitude': -73.99815339999999}"
133,"{'latitude': 40.7613813, 'formatted_address': '450 E 63rd St, New York, NY 10065, USA', 'longitude': -73.95891999999999}"
134,"{'latitude': 40.77862409999999, 'formatted_address': '1524 Third Ave, New York, NY 10028, USA', 'longitude': -73.9546703}"
135,"{'latitude': 40.7166981, 'formatted_address': '50 Norfolk St, New York, NY 10002, USA', 'longitude': -73.9879951}"
136,"{'latitude': 40.727258, 'formatted_address': '1 Cooper Sq, New York, NY 10003, USA', 'longitude': -73.991023}"
137,"{'latitude': 40.744048, 'formatted_address': '10 E 28th St, New York, NY 10016, USA', 'longitude': -73.986566}"
138,"{'latitude': 40.7741651, 'formatted_address': '75 West End Ave, New York, NY 10023, USA', 'longitude': -73.9892929}"
139,"{'latitude': 40.7470437, 'formatted_address': '415 W 23rd St, New York, NY 10011, USA', 'longitude': -74.0020106}"
140,"{'latitude': 40.7416182, 'formatted_address': '25 FDR Dr, New York, NY 10016, USA', 'longitude': -73.97287709999999}"
141,"{'latitude': 40.7144171, 'formatted_address': '88 Division St, New York, NY 10002, USA', 'longitude': -73.9937028}"
142,"{'latitude': 40.71464580000001, 'formatted_address': '50 Canal St, New York, NY 10002, USA', 'longitude': -73.9917911}"
143,"{'latitude': 40.7147751, 'formatted_address': '7 Allen St, New York, NY 10002, USA', 'longitude': -73.9930232}"
144,"{'latitude': 40.7613813, 'formatted_address': '450 E 63rd St, New York, NY 10065, USA', 'longitude': -73.95891999999999}"
145,"{'latitude': 40.77862409999999, 'formatted_address': '1524 Third Ave, New York, NY 10028, USA', 'longitude': -73.9546703}"
146,"{'latitude': 40.7613813, 'formatted_address': '450 E 63rd St, New York, NY 10065, USA', 'longitude': -73.95891999999999}"
147,"{'latitude': 40.8129155, 'formatted_address': '2225 5th Ave, New York, NY 10037, USA', 'longitude': -73.9370977}"
148,"{'latitude': 40.77862409999999, 'formatted_address': '1524 Third Ave, New York, NY 10028, USA', 'longitude': -73.9546703}"
149,"{'latitude': 40.819674, 'formatted_address': 'Riverside Park Community, 3333 Broadway, New York, NY 10031, USA', 'longitude': -73.9570143}"
150,"{'latitude': 40.79677299999999, 'formatted_address': '1307 5th Ave, New York, NY 10029, USA', 'longitude': -73.948105}"
151,"{'latitude': 40.7382291, 'formatted_address': '401 2nd Ave, New York, NY 10010, USA', 'longitude': -73.9809647}"
152,"{'latitude': 40.7107507, 'formatted_address': '257 South St, New York, NY 10002, USA', 'longitude': -73.987585}"
153,"{'latitude': 40.73732, 'formatted_address': '53 W 14th St, New York, NY 10011, USA', 'longitude': -73.99595579999999}"
154,"{'latitude': 40.7107507, 'formatted_address': '257 South St, New York, NY 10002, USA', 'longitude': -73.987585}"
155,"{'latitude': 40.7103896, 'formatted_address': '82 Rutgers Slip, New York, NY 10002, USA', 'longitude': -73.9901963}"
156,"{'latitude': 40.7946558, 'formatted_address': '1250 5th Ave, New York, NY 10029, USA', 'longitude': -73.9505396}"
157,"{'latitude': 40.7160674, 'formatted_address': '410 Grand St, New York, NY 10002, USA', 'longitude': -73.98621539999999}"
158,"{'latitude': 40.8156855, 'formatted_address': '2491 Frederick Douglass Blvd, New York, NY 10030, USA', 'longitude': -73.9480828}"
159,"{'latitude': 40.7160674, 'formatted_address': '410 Grand St, New York, NY 10002, USA', 'longitude': -73.98621539999999}"
160,"{'latitude': 40.7201639, 'formatted_address': '115 Pitt St, New York, NY 10002, USA', 'longitude': -73.9821879}"
161,"{'latitude': 40.7166981, 'formatted_address': '50 Norfolk St, New York, NY 10002, USA', 'longitude': -73.9879951}"
162,"{'latitude': 40.7180676, 'formatted_address': '67 Pitt St, New York, NY 10002, USA', 'longitude': -73.9830386}"
163,"{'latitude': 40.7205342, 'formatted_address': '158 Stanton St, New York, NY 10002, USA', 'longitude': -73.9849553}"
164,"{'latitude': 40.744295, 'formatted_address': '175 Lexington Ave, New York, NY 10016, USA', 'longitude': -73.98096679999999}"
165,"{'latitude': 40.7477556, 'formatted_address': '527 W 22nd St, New York, NY 10011, USA', 'longitude': -74.0059352}"
166,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
167,"{'latitude': 40.7277278, 'formatted_address': '528 E 11th St, New York, NY 10009, USA', 'longitude': -73.9805116}"
168,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
169,"{'latitude': 40.7260871, 'formatted_address': '374 E 10th St, New York, NY 10009, USA', 'longitude': -73.97862479999999}"
170,"{'latitude': 40.726957, 'formatted_address': '612 E 11th St, New York, NY 10009, USA', 'longitude': -73.978859}"
171,"{'latitude': 40.7164977, 'formatted_address': '384 Grand St, New York, NY 10002, USA', 'longitude': -73.9876453}"
172,"{'latitude': 40.7204761, 'formatted_address': '162 Stanton St, New York, NY 10002, USA', 'longitude': -73.9848176}"
173,"{'latitude': 40.7189586, 'formatted_address': '176 Rivington St, New York, NY 10002, USA', 'longitude': -73.9844048}"
174,"{'latitude': 40.718612, 'formatted_address': '104 Suffolk St, New York, NY 10002, USA', 'longitude': -73.986067}"
175,"{'latitude': 40.7204761, 'formatted_address': '162 Stanton St, New York, NY 10002, USA', 'longitude': -73.9848176}"
176,"{'latitude': 40.7261027, 'formatted_address': '425 E 6th St, New York, NY 10009, USA', 'longitude': -73.9849606}"
177,"{'latitude': 40.7204761, 'formatted_address': '162 Stanton St, New York, NY 10002, USA', 'longitude': -73.9848176}"
178,"{'latitude': 40.7189586, 'formatted_address': '176 Rivington St, New York, NY 10002, USA', 'longitude': -73.9844048}"
179,"{'latitude': 40.7179191, 'formatted_address': '170 Delancey St, New York, NY 10002, USA', 'longitude': -73.9852362}"
180,"{'latitude': 40.7277278, 'formatted_address': '528 E 11th St, New York, NY 10009, USA', 'longitude': -73.9805116}"
181,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
182,"{'latitude': 40.7202422, 'formatted_address': '157 Stanton St, New York, NY 10002, USA', 'longitude': -73.98500659999999}"
183,"{'latitude': 40.7207331, 'formatted_address': '166 Suffolk St, New York, NY 10002, USA', 'longitude': -73.9850001}"
184,"{'latitude': 40.721301, 'formatted_address': '237 E 2nd St, New York, NY 10009, USA', 'longitude': -73.9821995}"
185,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
186,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
187,"{'latitude': 40.7395837, 'formatted_address': '105 W 17th St, New York, NY 10011, USA', 'longitude': -73.9958796}"
188,"{'latitude': 40.72082049999999, 'formatted_address': '325 E Houston St, New York, NY 10002, USA', 'longitude': -73.9827418}"
189,"{'latitude': 40.7260871, 'formatted_address': '374 E 10th St, New York, NY 10009, USA', 'longitude': -73.97862479999999}"
190,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
191,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
192,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
193,"{'latitude': 40.7185146, 'formatted_address': '206 Rivington St, New York, NY 10002, USA', 'longitude': -73.98295159999999}"
194,"{'latitude': 40.7210336, 'formatted_address': '6 Clinton St, New York, NY 10002, USA', 'longitude': -73.9838523}"
195,"{'latitude': 40.7191658, 'formatted_address': '172 Rivington St, New York, NY 10002, USA', 'longitude': -73.9845007}"
196,"{'latitude': 40.7196631, 'formatted_address': '55 Clinton St, New York, NY 10002, USA', 'longitude': -73.9849503}"
197,"{'latitude': 40.7179191, 'formatted_address': '170 Delancey St, New York, NY 10002, USA', 'longitude': -73.9852362}"
198,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
199,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
200,"{'latitude': 40.7164977, 'formatted_address': '384 Grand St, New York, NY 10002, USA', 'longitude': -73.9876453}"
201,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
202,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
203,"{'latitude': 40.7164977, 'formatted_address': '384 Grand St, New York, NY 10002, USA', 'longitude': -73.9876453}"
204,"{'latitude': 40.7205342, 'formatted_address': '158 Stanton St, New York, NY 10002, USA', 'longitude': -73.9849553}"
205,"{'latitude': 40.728615, 'formatted_address': '426 E 11th St, New York, NY 10009, USA', 'longitude': -73.98277399999999}"
206,"{'latitude': 40.7252557, 'formatted_address': '67 E 3rd St, New York, NY 10003, USA', 'longitude': -73.9886387}"
207,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
208,"{'latitude': 40.7222349, 'formatted_address': '67 Avenue D, New York, NY 10009, USA', 'longitude': -73.9772825}"
209,"{'latitude': 40.721481, 'formatted_address': '291 E 3rd St, New York, NY 10009, USA', 'longitude': -73.979689}"
210,"{'latitude': 40.7253373, 'formatted_address': '319 E 8th St, New York, NY 10009, USA', 'longitude': -73.9795062}"
211,"{'latitude': 40.7181111, 'formatted_address': '87 Attorney St, New York, NY 10002, USA', 'longitude': -73.9846233}"
212,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
213,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
214,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
215,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
216,"{'latitude': 40.7342727, 'formatted_address': '321 1st Avenue, New York, NY 10003, USA', 'longitude': -73.9807805}"
217,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
218,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
219,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
220,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
221,"{'latitude': 40.7164977, 'formatted_address': '384 Grand St, New York, NY 10002, USA', 'longitude': -73.9876453}"
222,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
223,"{'latitude': 40.7195346, 'formatted_address': '129 Rivington St, New York, NY 10002, USA', 'longitude': -73.98697729999999}"
224,"{'latitude': 40.7218636, 'formatted_address': '14 Avenue B, New York, NY 10009, USA', 'longitude': -73.9837146}"
225,"{'latitude': 40.730037, 'formatted_address': '220 Avenue A, New York, NY 10009, USA', 'longitude': -73.9803629}"
226,"{'latitude': 40.7280513, 'formatted_address': '195 Avenue B, New York, NY 10009, USA', 'longitude': -73.9785053}"
227,"{'latitude': 40.7188295, 'formatted_address': '169 Rivington St, New York, NY 10002, USA', 'longitude': -73.98483379999999}"
228,"{'latitude': 40.71388839999999, 'formatted_address': '219 Henry St, New York, NY 10002, USA', 'longitude': -73.9865207}"
229,"{'latitude': 40.72871, 'formatted_address': '182 Avenue A, New York, NY 10009, USA', 'longitude': -73.981228}"
230,"{'latitude': 40.7230569, 'formatted_address': '170 E 3rd St, New York, NY 10009, USA', 'longitude': -73.9843482}"
